University,Department,Overall Pay,Living Wage Ratio,Academic Year,Program Year,Comments,12M Gross Pay,9M Gross Pay,3M Gross Pay,Fees,Aggregate Department
Simon Fraser University,biological sciences,17500.0,,2020.0,3rd,"Burnaby,<br>BC","$24,000",,,"$6,500",biological sciences
University of Massachusetts - Boston (UMB),school for the environment,26750.0,0.93,2020.0,4th,nan,"$27,000",,,$250,school for the environment
Northeastern University (NU),computer science,37929.0,1.32,2020.0,3rd,nan,"$38,448",,,$519,computer science
University of Illinois - Urbana- Champaign (UIUC),bioengineering,23800.0,1.08,2020.0,5th,nan,"$25,000",,,"$1,200",bioengineering
University of California - Los Angeles (UCLA),near eastern languages and cultures,29000.0,1.12,2020.0,1st,nan,,"$23,000","$6,000",,near eastern languages and cultures
Boston University (BU),statistics,37000.0,1.29,2020.0,,nan,,"$37,000",,,statistics
Boston University (BU),statistics,37000.0,1.29,2020.0,,nan,,"$37,000",,,statistics
University of Massachusetts Medical Center - Worcester,graduate school of biomedical sciences,35100.0,1.56,2020.0,3rd,nan,"$36,000",,,$900,graduate school of biomedical sciences
University of North Carolina - Chapel Hill (UNC),political science,21000.0,0.94,2020.0,4th,nan,,"$18,000","$3,000",,political science
Indiana University School of Medicine,medical neuroscience,29000.0,,2020.0,4th,nan,"$29,000",,,,medical neuroscience
American University (AU),public administartion,23000.0,0.75,2020.0,1st,nan,"$23,000",,,,public administartion
Northeastern University (NU),english,35800.0,1.25,2020.0,4th,nan,"$36,000",,,$200,english
Virginia Tech,counselor education,14520.0,0.69,2020.0,,nan,,"$16,020",,"$1,500",counselor education
Purdue University - West Lafayette,animal sciences,20215.0,0.96,2020.0,,nan,"$20,365",,,$150,animal sciences
Purdue University - West Lafayette,animal sciences,20215.0,0.96,2020.0,,nan,"$20,365",,,$150,animal sciences
,earth sciences,29512.0,,2020.0,1st,nan,"$30,312",,,$800,earth sciences
University of Hawaii - Manoa (UH),earth sciences,29512.0,0.97,2020.0,1st,nan,"$30,312",,,$800,earth sciences
Johns Hopkins University (JHU),sais,32500.0,1.26,2020.0,1st,Health care covered ,"$32,500",,,,sais
Johns Hopkins University (JHU),sais,32500.0,1.26,2020.0,1st,nan,"$32,500",,,,sais
Pennsylvania State University (Penn State),business,34000.0,1.51,2020.0,2nd,nan,,"$30,000","$4,000",,business
Florida Atlantic University (FAU),physics,20000.0,0.84,2020.0,,nan,"$20,000",,,,physics
Michigan Technological University (MTU),physics,24900.0,1.22,2020.0,5th,nan,,"$18,000","$7,000",$100,physics
University of Hawaii - Manoa (UH),nan,19445.0,0.64,2020.0,2nd,nan,,"$19,896",,$451,nan
Purdue University - West Lafayette,earth atmospheric and planetary science,24876.0,1.18,2020.0,4th,"RA pay - all grads in department recently got a pay raise this year after not getting a cost of <span class=""truncated""> living raise for 10+ years</span>","$25,176",,,$300,earth atmospheric and planetary science
University of South Carolina (USC),nan,17000.0,0.75,2020.0,2nd,I ,,"$17,000",,,nan
Stanford University (SU),genetics,45792.0,1.59,2020.0,5th,nan,"$45,792",,,,genetics
University of Florida,pharmacology,27802.0,,2020.0,2nd,nan,"$29,702",,,"$1,900",pharmacology
Ohio State University (OSU),chemistry,26200.0,1.31,2020.0,6th and up,nan,"$27,500",,,"$1,300",chemistry
Yale University (YU),school of public health,40000.0,1.62,2020.0,2nd,nan,"$40,000",,,,school of public health
Florida Agricultural &amp; Mechanical University,chemical engineering,27352.0,,2020.0,1st,nan,"$28,752",,,"$1,400",chemical engineering
University of Virginia (UVA),astronomy,28000.0,1.23,2020.0,1st,nan,"$28,000",,,,astronomy
Indiana University,o’neill school of public and environmental affairs,23400.0,1.08,2020.0,1st,nan,"$25,000",,,"$1,600",o’neill school of public and environmental affairs
Brigham Young University (BYU),mechanical engineering,20000.0,0.97,2020.0,2nd,nan,"$20,000",,,,mechanical engineering
University of Missouri (MU),plant sciences,20000.0,0.97,2020.0,1st,nan,"$24,500",,,"$4,500",plant sciences
University of Missouri (MU),plant sciences,20000.0,0.97,2020.0,1st,nan,"$24,500",,,"$4,500",plant sciences
University of Missouri (MU),plant sciences,20000.0,0.97,2020.0,1st,nan,"$24,500",,,"$4,500",plant sciences
University of Missouri (MU),plant sciences,20000.0,0.97,2020.0,1st,nan,"$24,500",,,"$4,500",plant sciences
University of Missouri (MU),plant sciences,24500.0,1.19,2020.0,1st,nan,"$24,500",,,,plant sciences
Washington University in St. Louis (Wash U),imaging science,33800.0,1.64,2020.0,2nd,nan,"$33,800",,,,imaging science
University of Alabama - Birmingham (UAB),graduate biomedical research,31000.0,1.44,2020.0,,nan,"$31,000",,,,graduate biomedical research
Stony Brook University - SUNY,ecology and evolution,22100.0,0.79,2020.0,1st,nan,,"$22,500",,$400,ecology and evolution
University of Utah,mechanical engineering,23000.0,1.03,2020.0,3rd,nan,"$25,000",,,"$2,000",mechanical engineering
Florida A&amp;amp;M; University -  Florida State University,chemical and biomedical engineering,27382.0,,2020.0,3rd,nan,"$28,782",,,"$1,400",chemical and biomedical engineering
Northern Arizona University (NAU),nan,23400.0,1.0,2020.0,4th,nan,,"$20,000","$5,000","$1,600",nan
Cornell University (CU),neurobiology and behavior,33568.0,1.38,2020.0,3rd,nan,,"$28,654","$5,000",$86,neurobiology and behavior
University of Pennsylvania,biomedical graduate studies,34500.0,1.43,2020.0,6th and up,nan,"$34,500",,,,biomedical graduate studies
University of Oklahoma (OU),physics,20800.0,1.03,2020.0,1st,Fees reduce after the General exam,"$24,000",,,"$3,200",physics
Cornell University (CU),dyson applied economics and management,29000.0,1.2,2020.0,2nd,nan,,"$29,000",,,dyson applied economics and management
University of Pennsylvania,electrical and systems engineering,34500.0,1.43,2020.0,4th,nan,"$34,500",,,,electrical and systems engineering
,school of library and information science,22190.0,,2020.0,1st,Sadly this is the most I’ve ever made and 80% of my monthly stipend goes to rent.<br>,"$22,740",,,$550,school of library and information science
University of Iowa (UI),school of library and information science,22190.0,1.0,2020.0,1st,Sadly this is the most I’ve ever made and 80% of my monthly stipend goes to rent.<br>,"$22,740",,,$550,school of library and information science
Binghamton University - SUNY,biology,26800.0,1.3,2020.0,1st,nan,,"$28,000",,"$1,200",biology
University of Washington (UW),neuroscience,39123.0,1.68,2020.0,3rd,nan,"$40,008",,,$885,neuroscience
Virginia Tech,biochemistry,26000.0,1.23,2020.0,2nd,nan,"$26,000",,,,biochemistry
Stanford University (SU),mstp,43200.0,1.5,2020.0,1st,5000 is taxes ,"$48,200",,,"$5,000",mstp
Georgetown University,physics,39070.0,1.27,2020.0,5th,nan,,"$33,150","$6,500",$580,physics
Florida State University (FSU),psychology,20100.0,0.86,2020.0,4th,includes fees and required health insurance after grad TA/RA deduction for .5 FTE,"$22,800",,,"$2,700",psychology
University of Chicago (UC),bsd - cancer biology,33000.0,1.36,2020.0,3rd,nan,"$34,000",,,"$1,000",bsd - cancer biology
,bsd - cancer biology,33000.0,,2020.0,3rd,nan,"$34,000",,,"$1,000",bsd - cancer biology
University of Toronto,ihpme,18700.0,,2020.0,3rd,nan,"$26,500",,,"$7,800",ihpme
University of Texas - Dallas (UTD),cognitive neuroscience,29000.0,1.34,2020.0,4th,I pay ~3500 USD a year for student health insurance.<br>,"$29,000",,,,cognitive neuroscience
University of California - Berkeley,jurisprudence and social policy,35000.0,1.26,2020.0,4th,nan,,"$35,000",,,jurisprudence and social policy
Michigan State University (MSU),integrative biology,20911.0,1.02,2020.0,5th,nan,,"$21,000",,$89,integrative biology
Tulane University (TU),epidemiology,28000.0,1.22,2020.0,1st,nan,"$28,000",,,,epidemiology
University of North Carolina - Chapel Hill (UNC),chemistry,27000.0,1.21,2020.0,3rd,nan,"$27,000",,,,chemistry
Rensselaer Polytechnic Institute (RPI),chemistry,29823.0,1.31,2020.0,5th,nan,,"$23,500","$6,600",$277,chemistry
McMaster University,biology phd,18000.0,,2020.0,3rd,nan,"$25,000",,,"$7,000",biology phd
Florida State University (FSU),clinical psychology,21886.0,0.94,2020.0,1st,nan,"$24,816",,,"$2,930",clinical psychology
University of Pennsylvania,biomedical graduate studies,34000.0,1.41,2020.0,,Includes healthcare and dental coverage,"$34,000",,,,biomedical graduate studies
Iowa State University (ISU),material science and engineering,23300.0,1.1,2020.0,2nd,nan,"$24,000",,,$700,material science and engineering
Pennsylvania State University (Penn State),mass communication,21000.0,0.94,2020.0,4th,nan,"$21,000",,,,mass communication
Princeton University,electrical and computer engineering,40000.0,1.57,2020.0,4th,nan,"$40,000",,,,electrical and computer engineering
Vanderbilt University,mechanical engineering,30000.0,1.31,2020.0,6th and up,nan,"$30,000",,,,mechanical engineering
Virginia Commonwealth University (VCU),biostatistics,30000.0,1.21,2020.0,1st,nan,"$30,000",,,,biostatistics
Dartmouth College,molecular and cellular biology,32080.0,1.29,2020.0,2nd,nan,"$32,080",,,,molecular and cellular biology
University of Michigan - Ann Arbor (UM),chemistry,31500.0,1.36,2020.0,6th and up,"RA and TAing are paid the same amount  - and in chemistry your  guaranteed a 12 month stipend via <span class=""truncated""> RA or TA position for 5 yrs.<br>$0 premium on health insurance,<br>$30/month for the most expensive dental plan,<br>$10/month  for vision.<br>Ann  Arbor is an  expensive town,<br> though,<br>so  the gross pay is barely enough to live in a studio apartment near the university.<br>Most  students either live close to campus but with roommates to be able to split rent,<br>or they live further away (alone)<br>for cheaper rent,<br>or live in the grad housing  in the north part of campus.<br> </span>","$32,000",,,$500,chemistry
Vanderbilt University,nan,29494.0,1.28,2020.0,4th,nan,,"$26,500","$2,994",,nan
Baylor University (BU),educational leadership,21000.0,1.06,2020.0,2nd,nan,"$21,000",,,,educational leadership
Texas Tech University (TTU),clinical psychology,13200.0,0.65,2020.0,2nd,nan,"$15,200",,,"$2,000",clinical psychology
University of Kansas (KU),ecology and evolutionary biology,28000.0,1.37,2020.0,4th,nan,"$28,000",,,,ecology and evolutionary biology
University of Southern California (USC),molecular and computational biology,30350.0,1.17,2020.0,6th and up,nan,,"$28,806","$1,694",$150,molecular and computational biology
University of Pittsburgh,medical scientist training program (mstp),30795.0,1.49,2020.0,1st,"Health insurance covered,<br>but not dental/vision (I think those are &lt;$30/month combined)","$30,855",,,$60,medical scientist training program (mstp)
Duke University (DU),biomedical engineering,32400.0,1.46,2020.0,4th,nan,"$32,400",,,,biomedical engineering
University of calgary,neutoscience,24300.0,,2020.0,5th,nan,"$26,000",,,"$1,700",neutoscience
University of Florida (UF),economics,22000.0,0.97,2020.0,4th,nan,"$22,500",,,$500,economics
University of California - Santa Barbara (UCSB),global studies,24000.0,0.91,2020.0,1st,nan,,"$24,000",,,global studies
Michigan State University (MSU),education administration,28815.0,1.4,2020.0,1st,This is a lump sum payment so taxes are paid all at once.,"$29,000",,,$185,education administration
University of California - Santa Cruz,bmeb,31000.0,1.15,2020.0,4th,nan,"$31,000",,,,bmeb
Duquesne University (DU),biological sciences,26500.0,1.28,2020.0,6th and up,nan,"$26,500",,,,biological sciences
Massachusetts Institute of Technology (MIT),economics,34830.0,1.25,2020.0,4th,One can RA during the summer to get a stipend for the remaining 3 months.,,"$35,000",,$170,economics
Bryn Mawr College (BMC),physics,29850.0,1.24,2020.0,6th and up,nan,,"$24,100","$5,750",,physics
University of Hawaii - Manoa (UH),psychology,19000.0,0.62,2020.0,4th,nan,,"$20,000",,"$1,000",psychology
University of Cincinnati (UC),chemistry,22500.0,1.17,2020.0,2nd,nan,"$23,000",,,$500,chemistry
University of Delaware (UD),biological sciences,25166.0,0.99,2020.0,1st,nan,"$26,666",,,"$1,500",biological sciences
College of William and Mary (W&amp;amp;M),history,24000.0,,2020.0,4th,"We are paid on about 19k for 9 months but receive a summer stipend of 5k.<br>These figures are rounded <span class=""truncated""> up.</span>","$24,000",,,,history
University of Maryland - College Park (UMD),communication,22500.0,0.74,2020.0,3rd,nan,"$22,500",,,,communication
New York University (NYU),marketing,35950.0,1.21,2020.0,6th and up,nan,"$36,500",,,$550,marketing
Princeton University,astrophysics,31940.0,1.26,2020.0,1st,nan,"$32,000",,,$60,astrophysics
University of Minnesota - Twin Cities (UM),astrophysics,25600.0,1.12,2020.0,1st,"TA ship,<br>dept RA money would be same amount.<br>","$27,000",,,"$1,400",astrophysics
Purdue University - West Lafayette,biological sciences,24200.0,1.14,2020.0,2nd,nan,"$24,500",,,$300,biological sciences
University of Delaware (UD),materials science and engineering,28600.0,1.13,2020.0,4th,nan,"$30,000",,,"$1,400",materials science and engineering
University of Illinois - Chicago (UIC),chemistry,23440.0,0.97,2020.0,4th,nan,"$25,440",,,"$2,000",chemistry
Purdue University - West Lafayette,ece,23600.0,1.12,2020.0,1st,no fine dinners,"$25,200",,,"$1,600",ece
,political science,19200.0,,2020.0,1st,nan,,"$20,000",,$800,political science
Temple University (TU),political science,19200.0,0.8,2020.0,1st,nan,,"$20,000",,$800,political science
Rice University,statistics,27300.0,1.25,2020.0,1st,nan,,"$21,600","$7,200","$1,500",statistics
Rice University,statistics,27300.0,1.25,2020.0,1st,nan,,"$21,600","$7,200","$1,500",statistics
University of New Hampshire (UNH),physics,31436.0,1.32,2020.0,2nd,RA,,"$20,242","$11,194",,physics
University of Rochester (UR),counseling and human development,12600.0,0.59,2020.0,3rd,"This is a full time assistantship and it covers all tuition and a mandatory health fee.<br>It is <span class=""truncated""> supposed to be 15 hours a week,<br>but is really as many hours as it takes to get the work done (often 30 hours a week).<br>I am only contracted for and get paid for 15 weeks during the fall and spring semester,<br>but I work during winter break and summer at reduced hours.<br></span>",,"$12,600",,,counseling and human development
University of North Carolina - Chapel Hill (UNC),sociology,20000.0,0.9,2020.0,6th and up,nan,,"$20,000",,,sociology
University of Illinois - Urbana- Champaign (UIUC),electrical,34667.0,1.58,2020.0,2nd,nan,"$34,667",,,,electrical
New York University (NYU),marketing (stern),39450.0,1.33,2020.0,3rd,nan,"$40,000",,,$550,marketing (stern)
University of Maryland - College Park (UMD),physics,23780.0,0.79,2020.0,1st,"Fees = (417.5 Mandatory Fee + 125 Internation Scholar Fee + 489 State &#34;Empolyee&#34; Health Insurance)<br><span class=""truncated""> * 2 Semester</span>","$26,743",,,"$2,963",physics
Columbia University (CU),marketing,40538.0,1.36,2020.0,1st,nan,"$40,538",,,,marketing
Wake Forest University (WFU),neuroscience phd,30370.0,1.39,2020.0,,nan,"$31,000",,,$630,neuroscience phd
University of Southern California (USC),earth sciences,31952.0,1.23,2020.0,5th,nan,"$32,000",,,$48,earth sciences
University of Maryland - College Park (UMD),communication,22500.0,0.74,2020.0,3rd,nan,,"$22,500",,,communication
University of North Carolina - Charlotte (UNCC),cci,14400.0,0.63,2020.0,2nd,nan,,"$16,000",,"$1,600",cci
University of California - Irvine (UCI),neurobiology and behavior,35000.0,1.2,2020.0,3rd,nan,"$35,000",,,,neurobiology and behavior
Northeastern University (NU),physics,35750.0,1.25,2020.0,2nd,nan,"$36,000",,,$250,physics
Michigan State University (MSU),kinesiology phd program,33700.0,1.64,2020.0,2nd,nan,,"$28,000","$6,000",$300,kinesiology phd program
Thomas Jefferson University,neuroscience,29900.0,1.24,2020.0,3rd,nan,"$29,900",,,,neuroscience
University of California - Los Angeles (UCLA),human genetics,35000.0,1.35,2020.0,1st,Health insurance covered,"$35,000",,,,human genetics
Michigan Technological University (MTU),physics,22644.0,1.11,2020.0,4th,nan,,"$18,400","$5,000",$756,physics
Vanderbilt University,biomedical engineering,35000.0,1.52,2020.0,4th,nan,"$35,000",,,,biomedical engineering
Cornell University (CU),computer science,38200.0,1.58,2020.0,3rd,nan,"$38,300",,,$100,computer science
University of North Carolina - Charlotte (UNCC),mathematica,16100.0,0.7,2020.0,3rd,nan,,"$18,500",,"$2,400",mathematica
Virginia Tech,ece,24752.0,1.17,2020.0,3rd,nan,"$27,600",,,"$2,848",ece
,nan,22719.0,,2020.0,,nan,"$22,719",,,,nan
Indiana University,chemistry,24500.0,1.14,2020.0,2nd,nan,"$26,000",,,"$1,500",chemistry
George Mason University (GMU),physics and astronomy,31600.0,1.05,2020.0,5th,"$10,000 is the theoretical maximum a student can be paid over the summer.<br>Most students are paid at <span class=""truncated""> lower summer rates; summer funding is not guaranteed,<br>and in some cases students only make $4,000-$5,000 per summer.<br></span>",,"$22,000","$10,000",$400,physics and astronomy
University of Tennessee - Knoxville,mathematics,19200.0,0.9,2020.0,5th,nan,"$21,000",,,"$1,800",mathematics
University of Cincinnati (UC),cell and cancer biology,30000.0,1.55,2020.0,2nd,nan,"$30,000",,,,cell and cancer biology
University of Texas - San Antonio (UTSA),neuroscience,28000.0,1.35,2020.0,1st,nan,"$28,000",,,,neuroscience
University at Buffalo - SUNY,biomedical sciences (ppbs),31000.0,1.47,2020.0,1st,nan,"$31,000",,,,biomedical sciences (ppbs)
University of California - Berkeley,chemistry,36000.0,1.3,2020.0,1st,nan,"$36,000",,,,chemistry
Louisiana State University - Baton Rouge,physics and astronomy,20000.0,0.92,2020.0,1st,nan,"$24,000",,,"$4,000",physics and astronomy
icahn school of medicine,neuroscience,42000.0,,2020.0,3rd,nan,"$42,000",,,,neuroscience
University of California - Berkeley,chemical engineering,38000.0,1.37,2020.0,5th,nan,"$38,000",,,,chemical engineering
Texas Tech University (TTU),chemistry,25000.0,1.23,2020.0,2nd,Fees are required but reimbursed by the department ,"$25,000",,,,chemistry
Loma Linda university,basic sciences,25000.0,,2020.0,5th,nan,"$25,000",,,,basic sciences
Boston University (BU),graduate program for neuroscience,34000.0,1.19,2020.0,,nan,"$34,000",,,,graduate program for neuroscience
University of Cincinnati (UC),marketing,19000.0,0.98,2020.0,4th,nan,"$20,000",,,"$1,000",marketing
University of California - San Diego (UCSD),chemistry and biochemistry,34000.0,1.28,2020.0,1st,nan,"$34,000",,,,chemistry and biochemistry
University of California - San Diego (UCSD),chemistry &amp; biochemistry,34000.0,1.28,2020.0,1st,nan,"$34,000",,,,chemistry &amp; biochemistry
George Mason University (GMU),educational psychology phd,30000.0,0.99,2020.0,1st,nan,,"$23,000","$7,000",,educational psychology phd
Harvard University (HU),neurobiology,39876.0,1.39,2020.0,1st,nan,"$41,876",,,"$2,000",neurobiology
Purdue University - West Lafayette,psychological sciences,16250.0,0.77,2020.0,3rd,nan,,"$16,500",,$250,psychological sciences
University of Maryland - College Park (UMD),neuroscience and cognitive science,45165.0,1.49,2020.0,2nd,"This is with an extra $12,000 fellowship that most students don&#39;t have in my program and on an NSF <span class=""truncated""> NRT instead of on my university&#39;s stipend offer.</span>",,"$46,000",,$835,neuroscience and cognitive science
University of Wisconsin - Madison (UW),isye,25300.0,1.11,2020.0,3rd,nan,"$27,000",,,"$1,700",isye
University of California - Riverside (UCR),mathematics,19668.0,0.82,2020.0,4th,nan,,"$20,652",,$984,mathematics
University of California - Berkeley,eecs,38400.0,1.38,2020.0,6th and up,NDSEG Fellowship amount.,"$38,400",,,,eecs
Wake Forest University (WFU),integrative physiology &amp; pharmacology,29651.0,1.36,2020.0,1st,nan,"$29,651",,,,integrative physiology &amp; pharmacology
University of Virginia (UVA),materials science and engineering,27900.0,1.22,2020.0,2nd,nan,"$27,900",,,,materials science and engineering
McMaster University,neuroscience,27800.0,,2020.0,1st,"$10,000 of my gross pay is from a scholarship.<br>","$35,000",,,"$7,200",neuroscience
Princeton University,ece,46500.0,1.83,2020.0,2nd,nan,,"$36,500","$10,000",,ece
Georgia Institute of Technology (Georgia Tech),computational science &amp; engineering,24067.0,1.03,2020.0,1st,nan,,"$22,275","$5,000","$3,208",computational science &amp; engineering
Brown University,computational biology (cs track),32500.0,1.43,2020.0,4th,"Includes health and dental insurance (dental insurance is quite basic,<br>though).<br>Quick note: Why do <span class=""truncated""> some students in other life science-related PhDs at Brown (e.g.<br>neuroscience)<br>report higher stipends (e.g.<br>~36k)<br>here? Stipend should be consistent across all students in the same program each year.<br></span>","$32,500",,,,computational biology (cs track)
Washington University in St. Louis (Wash U),division of biology and biomedical sciences,32500.0,1.57,2020.0,6th and up,nan,"$32,500",,,,division of biology and biomedical sciences
Carnegie Mellon University (CMU),software engineering,36000.0,1.74,2020.0,1st,nan,"$36,000",,,,software engineering
Virginia Tech,mechanical engineering,19800.0,0.94,2020.0,1st,nan,"$24,000",,,"$4,200",mechanical engineering
Aarhus University,civil and architectural engineering,58460.0,,2020.0,2nd,nan,"$58,460",,,,civil and architectural engineering
University of California - Santa Barbara (UCSB),humanities,29500.0,1.12,2020.0,1st,nan,,"$24,500","$5,000",,humanities
Vanderbilt University,cell and developmental biology,33000.0,1.44,2020.0,6th and up,nan,"$33,500",,,$500,cell and developmental biology
Carnegie Mellon University (CMU),neural computation,32700.0,1.58,2020.0,4th,"Stipend has increased minimally,<br>but somewhat,<br>since my first year.<br>Then,<br>we were paid $30,000 but <span class=""truncated""> did not have to pay any insurance out of pocket.<br>Now,<br>we have to pay half of our health insurance out of pocket ($1300),<br>but the stipend was increased to cover it,<br>along with a total of about $2700 of yearly increases.<br>Not a bad stipend given the cost of living in Pittsburgh.</span>","$34,000",,,"$1,300",neural computation
University of Illinois - Chicago (UIC),computer science,24400.0,1.01,2020.0,4th,nan,"$26,400",,,"$2,000",computer science
University of Iowa (UI),interdisciplinary graduate program in neuroscience,31000.0,1.4,2020.0,2nd,Increases by $500 each year.,"$31,000",,,,interdisciplinary graduate program in neuroscience
University of Southern California (USC),physics,32000.0,1.24,2020.0,1st,nan,"$32,000",,,,physics
Clemson University (CU),department of biological sciences,28776.0,1.38,2020.0,2nd,"Required fees are a combination of student fees that are not very clear in terms of what they are <span class=""truncated""> actually covering.<br>It is very vague and frustrating to pay,<br>and rather than remove it from our gross stipend pay all at once,<br>we have to pay the required fees back through the stipend that the university provides us.</span>",,"$27,000","$3,000","$1,224",department of biological sciences
Medical University of South Carolina,biomedical sciences,30350.0,1.26,2020.0,5th,nan,"$30,500",,,$150,biomedical sciences
North Dakota State University (NDSU),environmental &amp; conservation sciences,22800.0,1.19,2020.0,4th,nan,"$24,000",,,"$1,200",environmental &amp; conservation sciences
Marquette University,nan,25000.0,1.16,2020.0,,nan,"$25,000",,,,nan
University of South Carolina (USC),history phd,15250.0,0.68,2020.0,4th,nan,,"$15,250",,,history phd
Yale University (YU),bbs,38050.0,1.54,2020.0,3rd,nan,"$38,050",,,,bbs
Eastern Michigan University (EMU),clinical psychology,16500.0,0.71,2020.0,4th,"Fellowship is guaranteed for four years; Tuition remission is provided in addition to fellowship; <span class=""truncated""> Students pay $50 per semester in registration fees.<br></span>","$16,500",,,,clinical psychology
University of Maine,communication and journalism,18600.0,0.87,2020.0,1st,2 years of research funding with the flagship fellowship,"$20,000",,,"$1,400",communication and journalism
Tulane University (TU),psychology,22000.0,0.95,2020.0,6th and up,nan,,"$19,000","$3,000",,psychology
Carnegie Mellon University (CMU),computer science,36000.0,1.74,2020.0,3rd,nan,"$36,000",,,,computer science
Massachusetts Institute of Technology (MIT),biology,40632.0,1.45,2020.0,4th,nan,"$41,000",,,$368,biology
Massachusetts Institute of Technology (MIT),eecs,45650.0,1.63,2020.0,,nan,"$46,000",,,$350,eecs
University of Toronto,electrical and computer engineering,18480.0,,2020.0,1st,nan,"$25,480",,,"$7,000",electrical and computer engineering
University of Central Florida (UCF),counselor education,26000.0,1.12,2020.0,1st,nan,"$26,000",,,,counselor education
Purdue University - West Lafayette,clinical psychological sciences,17300.0,0.82,2020.0,3rd,"Summer funding is not guaranteed.<br>If you get to teach a course,<br>about $1,200 to $1,500 is typical <span class=""truncated""> compensation for a summer course.<br></span>",,"$16,500","$1,500",$700,clinical psychological sciences
ETH Zurich,mechanical engineering/robotics,86843.0,,2020.0,3rd,"Taxes are low in Switzerland so I&#39;m left with about 5600CHF per month.<br>I can comfortably get by <span class=""truncated""> with 3k CHF per month.<br>Salaries are public and can be found here: https://ethz.ch/en/the-eth-zurich/working-teaching-and-research/welcome-center/employment-contract-and-salary/salary.html</span>","$86,843",,,,mechanical engineering/robotics
Rensselaer Polytechnic Institute (RPI),computer science,20560.0,0.9,2020.0,2nd,nan,,"$23,500",,"$2,940",computer science
West Virginia University (WVU),psychology/lifespan developmental,18825.0,0.84,2020.0,1st,nan,,"$16,500","$3,000",$675,psychology/lifespan developmental
University of Nebraska - Omaha (UNO),public administration,20500.0,1.01,2020.0,3rd,nan,,"$18,000","$2,500",,public administration
Indiana University,french and italian,16600.0,0.77,2020.0,2nd,"The required fees are leftover tuition (i.e.,<br>computer fees.<br>And I admit that I am guesstimating <span class=""truncated""> them off the top of my head).<br>We do have decent health insurance that includes dental/vision.</span>",,"$18,000",,"$1,400",french and italian
University of Pennsylvania,cell and molecular biology,34000.0,1.41,2020.0,2nd,nan,"$34,000",,,,cell and molecular biology
Tallinn University of Technology,computer systems,19240.0,,2020.0,5th,nan,"$24,840",,,"$5,600",computer systems
,nan,22000.0,,2020.0,,nan,"$22,000",,,,nan
Florida International University (FIU),computer science,21700.0,0.91,2020.0,1st,nan,"$24,200",,,"$2,500",computer science
Florida International University (FIU),computer science,29450.0,1.24,2020.0,5th,nan,"$31,050",,,"$1,600",computer science
Colorado State University (CSU),soil and crop science,31600.0,1.41,2020.0,4th,Everyone in our dept pays different wages.<br>Set by PI,"$33,000",,,"$1,400",soil and crop science
University of New Mexico (UNM),clinical psychology,20000.0,0.95,2020.0,4th,"Paid through grant (non-grant stipends are 9-month contracts,<br>but most are able to find summer <span class=""truncated""> funding).<br>Includes health insurance,<br>but dental or vision is opt-in and extra.<br></span>","$20,000",,,,clinical psychology
University of Southern California (USC),earth science,35500.0,1.37,2020.0,1st,"30,500 comes from USC,<br>5000 comes from the ES department",,"$30,500","$5,000",,earth science
Baylor University (BU),history,16500.0,0.83,2020.0,2nd,"This is for the MA program.<br>I pay $1,300 a semester for insurance but many other people are still <span class=""truncated""> on their parents’ insurance.<br></span>",,"$12,000","$4,500",,history
University of California - Irvine (UCI),"criminology, law, and society",26500.0,0.91,2020.0,1st,nan,"$26,700",,,$200,"criminology, law, and society"
Temple University (TU),developmental psychology phd,20521.0,0.85,2020.0,2nd,nan,,"$20,840",,$319,developmental psychology phd
Texas A&amp;amp;M; University - College Station,psychology,18000.0,,2020.0,5th,nan,,"$18,000",,,psychology
Vanderbilt University,history,33000.0,1.44,2020.0,1st,nan,"$33,000",,,,history
University of California - Irvine (UCI),materials science and engineering,25000.0,0.86,2020.0,2nd,nan,"$25,000",,,,materials science and engineering
University of California - Berkeley,physics,40000.0,1.44,2020.0,1st,nan,"$40,000",,,,physics
University of California - San Diego (UCSD),chemistry,34000.0,1.28,2020.0,1st,nan,"$34,000",,,,chemistry
University of Virginia (UVA),history,24000.0,1.05,2020.0,4th,nan,"$24,000",,,,history
University of Texas - Austin (UT),neuroscience,32500.0,1.42,2020.0,6th and up,nan,"$32,500",,,,neuroscience
West Virginia University (WVU),psychology/behavior analysis,18150.0,0.81,2020.0,4th,nan,,"$18,000","$1,500","$1,350",psychology/behavior analysis
Ohio State University (OSU),"evolution, ecology and organismal biology",25523.0,1.27,2020.0,1st,"This is income for MS student with OSU University Fellowship 

$2,352/month minus fees and 15% of <span class=""truncated""> health insurance not covered by fellowship (fellowship covers some fees and 85% health insurance)<br>
Paid once a month 

Required fees listed includes fees and health insurance portion not covered by fellowship PER semester.<br>The fees are a little lower during summer term.<br></span>","$26,316",,,$793,"evolution, ecology and organismal biology"
University of California - San Diego (UCSD),chemistry biochemistry,34000.0,1.28,2020.0,1st,nan,"$34,000",,,,chemistry biochemistry
University of Illinois - Urbana- Champaign (UIUC),physics,33300.0,1.51,2020.0,2nd,nan,"$34,000",,,$700,physics
University of Virginia (UVA),biomedical sciences,32500.0,1.42,2020.0,3rd,nan,"$32,500",,,,biomedical sciences
Florida International University (FIU),computer science,26100.0,1.1,2020.0,3rd,nan,"$28,600",,,"$2,500",computer science
Florida International University (FIU),computer science,29450.0,1.24,2020.0,5th,nan,"$31,050",,,"$1,600",computer science
